Judul,Tahun,Durasi,Kategori,Skor,Pengguna ,Deskripsi,Pemeran
Peaky Blinders,2013,1h,"Crime, Drama",8.8,"264,216","A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Cillian Murphy, Paul Anderson"
Nathan for You,2013,30min,"Documentary, Comedy",8.8,"15,856","Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.","Nathan Fielder, Anthony Filosa"
Stranger Things,2016,51min,"Drama, Fantasy, Horror",8.8,"711,883","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Millie Bobby Brown, Finn Wolfhard"
Blackadder Goes Forth,1989,2h 55min,"Comedy, War",8.7,"45,777","Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","Rowan Atkinson, Tony Robinson"
Freaks and Geeks,1999,44min,"Comedy, Drama",8.7,"122,672",A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,"Linda Cardellini, John Francis Daley"
Fawlty Towers,1975,30min,Comedy,8.7,"80,013","Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.","John Cleese, Prunella Scales"
Arrested Development,2003,22min,Comedy,8.7,"264,256","Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.","Jason Bateman, Michael Cera"
Senke nad Balkanom,2017,1h,"Crime, Drama, Thriller",8.7,"6,953","A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.","Andrija Kuzmanovic, Marija Bergam"
Chappelle's Show,2003,22min,"Comedy, Music",8.7,"49,716",Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,"Dave Chappelle, Donnell Rawlings"
Shingeki no kyojin,2013,24min,"Animation, Action, Adventure",8.7,"135,094","After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Marina Inoue, Yûki Kaji"
It's Always Sunny in Philadelphia,2005,22min,Comedy,8.7,"178,839",Five friends with big egos and slightly arrogant attitudes are the proprietors of an Irish pub in Philadelphia.,"Charlie Day, Glenn Howerton"
Rome,2005,52min,"Action, Drama, History",8.7,"146,753",A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,"Kevin McKidd, Ray Stevenson"
